Coptic	Alt. Spellings	Fem.	Pl.	Prenom.	Prepronom.	Qual.	Gramm.	Notes	English
ⲟⲩⲱⲱⲧⲉ	(ⲟⲩⲱⲧⲉ  ⲟⲩⲁⲁⲧ=)			ⲟⲩⲁⲁⲧⲉ-	ⲟⲩⲟⲟⲧ=	ⲟⲩⲟⲟⲧⲉ	vb. tr.		(1) to send (ⲙⲙⲟ/; forth: ⲉⲃⲟⲗ); (2) to separate, distinguish, choose (esp. in Q), +/- ⲉⲃⲟⲗ
ⲟⲩⲱⲧ	ⲟⲩⲉⲧ-						impers. vb.	followed by subj.	is different, distinct
ⲟⲩⲉⲧ- ... ⲟⲩⲉⲧ- ...									the one is ..., the other is ...
ⲟⲩⲱϣ	(ⲟⲩⲟϣ=)			ⲟⲩⲉϣ-	ⲟⲩⲁϣ=		vb. tr.	oues- may be prefixed directly to an Inf.	to want, wish, desire (ⲙⲙⲟ/); to love; to be ready, on the point of (doing: ⲉ + Inf., etre, je)
ϯⲟⲩⲉϣ-ⲉⲓⲙⲉ									
ⲡ.ⲟⲩⲱϣ							n. m.		desire, love, wish
ⲟⲩⲱϣ ⲛ ϩⲏⲧ									heart's desire
ⲙ ⲡ(_)ⲟⲩⲱϣ									on one's own; voluntarily, willingly
ⲡ.ⲟⲩⲱϣ							n. m.		cleft, gap; interval, pause, holiday
ⲡⲟⲩⲱϣ ⲛ ⲧⲙⲏⲧⲉ									Thursday (?)
ⲣ-ⲟⲩⲱϣ ⲉ									to wait for
(ⲛ) ⲟⲩⲉϣⲛ							prep.		without
ⲟⲩⲱϣⲃ				ⲟⲩⲉϣⲃ-	ⲟⲩⲟϣⲃ=		vb. tr.		to answer (someone: ⲉ, ⲛⲁ/, rarely suff.)
ⲟⲩⲱϣⲃ ⲙⲛ									to converse with
ⲟⲩⲱϣⲃ ⲛⲥⲁ									to repeat after (in response)
ⲟⲩⲱϣⲃ ⲟⲩⲃⲉ									to testify against
ⲡ.ⲟⲩⲱϣⲃ							n. m.		answer
ⲟⲩⲱϣⲉ	(ⲟⲩⲱⲱϣⲉ)								to consume, be consumed (fire, heat)
ⲟⲩⲱϣⲙ				ⲟⲩⲉϣⲙ-	ⲟⲩⲟϣⲙ=	ⲟⲩⲟϣⲙ	vb. tr.		to knead, mix, compound (ⲙⲙⲟ/; with: ⲙⲛ, hi, ϩⲛ)
ⲡ.ⲟⲩⲱϣⲙ				ⲟⲩⲉϣⲙ-	ⲟⲩⲟϣⲙ=		n. m.		dough
ⲙⲁ ⲛ ⲟⲩⲱϣⲙ									kneading place
ⲟⲩⲱϣⲥ				ⲟⲩⲉϣⲥ-	ⲟⲩⲟϣⲥ=	ⲟⲩⲟϣⲥ			to become broad, level, flat; to be at ease
ⲟⲩⲱϣⲥ				ⲟⲩⲉϣⲥ-	ⲟⲩⲟϣⲥ=	ⲟⲩⲟϣⲥ	vb. tr.		to make broad, level, flat
ⲟⲩⲱϣⲥ ⲉⲃⲟⲗ							tr. and intr.		to spread out/forth, extend
ⲡ.ⲟⲩⲱϣⲥ ⲉⲃⲟⲗ							n. m.		extent, breadth; ease
ⲧ.ⲟⲩⲁϣⲥⲉ	ⲟⲩⲟϣⲥⲉ, ⲟⲩⲉϣⲥⲉ						n. f.		breadth
ⲟⲩⲱϣⲧ							vb. tr.		to greet, kiss; to worship (ⲙⲙⲟ/, e, ⲛⲁ/)
ⲟⲩⲱϣⲧ ⲉϫⲛ|ϩⲁ									to worship, do obeisance at
ϣⲟⲩ-ⲟⲩⲱϣⲧ							adj.		to be revered
ⲧ.ⲟⲩⲁϣⲧⲉ							n. f.		worship
ⲟⲩⲱϣϥ	(ⲟⲩⲁϣϥ=)			ⲟⲩⲉϣϥ-	ⲟⲩⲟϣϥ=	ⲟⲩⲟϣϥ	vb. tr.		to break down, crush, destroy (ⲙⲙⲟ/)
ⲟⲩⲱϣϥ	(ⲟⲩⲁϣϥ=)			ⲟⲩⲉϣϥ-	ⲟⲩⲟϣϥ=	ⲟⲩⲟϣϥ	vb. intr.		to be worn down, broken, crushed, destroyed
ⲡ.ⲟⲩⲱϣϥ	(ⲟⲩⲁϣϥ=)			ⲟⲩⲉϣϥ-	ⲟⲩⲟϣϥ=		n. m.		breakage, destruction
ⲟⲩⲱϩ				ⲟⲩⲉϩ-	ⲟⲩⲁϩ=	ⲟⲩⲏϩ	vb. tr.		to put, place set (ⲙⲙⲟ/)
ⲟⲩⲏϩ							Q		to be placed, situated, set
ⲟⲩⲱϩ ⲙⲙⲟ ⲉ									to add to, set on, apply to, bring on
ⲟⲩⲱϩ ⲉⲧⲟⲟⲧ_								(vb. complement in Circum. or e + Inf.)	to add, repeat, do again
ⲟⲩⲱϩ ⲉϫⲛ									to add (sthg.: ⲙⲙⲟ/) to
ⲟⲩⲱϩ ϩⲁ									to invest/deposit for/with
ⲟⲩⲱϩ ⲉⲃⲟⲗ									to set (sthg.: ⲙⲙⲟ/) down, leave
ⲟⲩⲱϩ ⲉⲡⲉⲥⲏⲧ									to set down
ⲟⲩⲱϩ				ⲟⲩⲉϩ-	ⲟⲩⲁϩ=	ⲟⲩⲏϩ	vb. reflex.		to put or place oneself
ⲟⲩⲁϩ_ ⲛⲥⲁ									to follow
ⲟⲩⲱϩ				ⲟⲩⲉϩ-	ⲟⲩⲁϩ=	ⲟⲩⲏϩ	vb. intr.		to live, dwell, reside, be situated, be
ⲟⲩⲱϩ ⲉ									to live, dwell, reside, be situated with, by; sim. with ha, ϩⲛ, hi, and hijⲛ
ⲟⲩⲱϩ ⲉϫⲛ, ⲉϩⲣⲁⲓ ⲉϫⲛ									to live, dwell, reside, be situated on, upon
ⲟⲩⲱϩ ⲙⲛ									to live, dwell, reside, be situated with
ⲡ.ⲟⲩⲱϩ				ⲟⲩⲉϩ-	ⲟⲩⲁϩ=		n. m.		place where one stops, stands, dwells
ⲡ.ⲙⲁ ⲛ ⲟⲩⲱϩ							n. m.		place where one stops, stands, dwells
ϭⲓⲛⲟⲩⲱϩ									manner of life
ⲡ.ⲟⲩⲱϩⲉ							n. m.		fisherman
ⲙⲛⲧⲟⲩⲱϩⲉ									fisherman's profession
ⲟⲩⲱϩⲙ				ⲟⲩⲉϩⲙ-	ⲟⲩⲁϩⲙ=	ⲟⲩⲟϩⲙ	vb. tr.		to repeat, interpret (ⲙⲙⲟ/)
ⲟⲩⲱϩⲙ				ⲟⲩⲉϩⲙ-	ⲟⲩⲁϩⲙ=	ⲟⲩⲟϩⲙ	vb. intr.		to repeat, answer, respond (to: ⲉ, ⲉϫⲛ, ⲛⲁ/, ⲛⲥⲁ); to contradict, object to (ⲟⲩⲃⲉ, ha, hi)
ⲟⲩⲱϩⲙ				ⲟⲩⲉϩⲙ-	ⲟⲩⲁϩⲙ=		reflex.		to respond, repeat
ⲟⲩⲉϩⲙ-								may be prefixed to an Inf.	to re-(do), (do) again
ⲡ.ⲟⲩⲱϩⲙ				ⲟⲩⲉϩⲙ-	ⲟⲩⲁϩⲙ=		n. m.		answer, objection, interpretation
ⲛ ⲟⲩⲱϩⲙ							adv.		again
ⲣⲉϥⲟⲩⲱϩⲙ									one who contradicts
ⲙⲛⲧⲣⲉϥⲟⲩⲱϩⲙ									opposition, disobedience
ϭⲓⲛⲟⲩⲱϩⲙ									opposition
ⲡ.ⲟⲩⲁϩⲙⲉϥ							n. m.		interpreter
ⲟⲩⲱϫⲉ	(ⲟⲩⲱⲱϫⲉ  ⲟⲩⲉϫ-  ⲟⲩⲟϫ=)			ⲟⲩⲉⲉϫⲉ-	ⲟⲩⲟⲟϫ=		vb. tr.		to cut out, cut off (ⲙⲙⲟ/)
ⲟⲩⲱϭ							n. (pl.)	architectural term	entrance, portico
ⲟⲩⲱϭⲡ				ⲟⲩⲉϭⲡ-	ⲟⲩⲟϭⲡ=	ⲟⲩⲟϭⲡ	vb. tr.		to break, break down, destroy
ⲟⲩⲱϭⲡ				ⲟⲩⲉϭⲡ-	ⲟⲩⲟϭⲡ=	ⲟⲩⲟϭⲡ	vb. intr.		to break, be broken
ⲡ.ⲟⲩⲱϭⲡ				ⲟⲩⲉϭⲡ-	ⲟⲩⲟϭⲡ=		n. m.		destruction, breakage
ⲁⲧⲟⲩⲱϭⲡ									unbroken
ⲟⲩⲱϭⲥ							vb.		to collect (a contribution)
ⲡ.ⲟⲩⲱϭⲥ							n. m.		collection
ⲡ.ⲟⲩϣⲁⲡ							n. m.		a loan
ⲉ ⲡⲟⲩϣⲁⲡ									on loan
ϯ ⲉ ⲡⲟⲩϣⲁⲡ									to give on loan (to: ⲛⲁ/)
ϫⲓ ⲉ ⲡⲟⲩϣⲁⲡ									to receive on loan
ⲧ.ⲟⲩϣⲏ			ⲟⲩϣⲟⲟⲩⲉ				n. f.		night
ⲧⲡⲁϣⲉ ⲛ ⲧⲉⲩϣⲏ									midnight
ⲛ ⲟⲩⲟⲩϣⲏ									during a night
ⲛ ⲧⲉⲩϣⲏ									by night
ⲣ-ⲟⲩϣⲏ									to pass the night
ⲡ.ⲟⲩϩⲟⲣ		ⲟⲩϩⲟⲣⲉ,  ⲟⲩϩⲟⲟⲣⲉ, ⲟⲩϩⲱⲣⲉ	ⲟⲩϩⲟⲟⲣ				n. m.		dog
ⲟⲩϫⲁⲓ						ⲟⲩⲟϫ	vb. intr.		to become whole, sound, safe, saved (in religious sense)
ⲟⲩϫⲁⲓ ⲉ									to be saved from
ⲡ.ⲟⲩϫⲁⲓ							n. m.		health, safety
ⲁⲧⲟⲩϫⲁⲓ									unsound, incurable
ⲙⲛⲧⲟⲩϫⲁⲓ									unsoundness, unhealthiness
ⲱ							interj.		O, Oh
ⲱⲃⲧ	ⲱϥⲧ								goose
ⲱⲃϣ				ⲉⲃϣ-	ⲟⲃϣ=		trans.		to forget, overlook, neglect (e)
ⲟⲃϣ							Q	also used reflexively	to be forgotten, neglected
ⲱⲃϣ				ⲉⲃϣ-	ⲟⲃϣ=	ⲟⲃϣ	vb. intr.		to sleep, fall asleep
ⲱⲃϣ				ⲉⲃϣ-	ⲟⲃϣ=		Q		to be asleep
ⲡ.ⲱⲃϣ				ⲉⲃϣ-	ⲟⲃϣ=		n. m.		forgetfulness; sleep
ⲣ-ⲡⲱⲃϣ								n. obj. with =n	to become forgetful, to forget
ⲣ-ⲡ(_)ⲱⲃϣ								pron. obj. with suff.	to become forgetful, to forget
ⲡ.ⲣ-ⲡⲱⲃϣ							n. m.		forgetfulness
ⲣⲉϥⲣ-ⲡⲱⲃϣ									one who forgets
ⲧ.ⲉⲃϣⲉ	ⲃϣⲉ						n. f.		forgetfulness, carelessness, sleep
ⲣ-ⲉⲃϣⲉ									to be forgetful
ϯ-ⲉⲃϣⲉ, ϯ ⲛ ⲟⲩⲉⲃϣⲉ ⲉ ⲡϩⲏⲧ ⲛ									to make forgetful
ϫⲓ ⲛ ⲟⲩⲉⲃϣⲉ									to be forgetful
ⲧ.ⲟⲃϣⲥ							n. f.		forgetfulness
ⲱⲕ									to be content
ⲱⲕⲙ				ⲉⲕⲙ-		ⲟⲕⲙ	vb. intr.		to become dark, gloomy, changed for the worse (toward: ⲉ, ⲉϩⲟⲩⲛ ⲉ)
ⲱⲕⲙ				ⲉⲕⲙ-		ⲟⲕⲙ	vb. tr.	rare	to darken, alter
ⲡ.ⲱⲕⲙ				ⲉⲕⲙ-			n. m.		sadness, gloom
ⲱⲗ					ⲟⲗ=	ⲏⲗ		mainly Boh.	to lay hold of, take, gather in (ⲙⲙⲟ/)
ⲱⲗ					ⲟⲗ=		reflex.		to withdraw (+/- ⲉⲣⲟ/ ethical dat.)
ⲱⲗ ⲉ									to bring/take to
ⲱⲗ ⲉⲃⲟⲗ									to take away
ⲱⲗ ⲉϩⲟⲩⲛ									to bring in
ⲱⲗ ⲉϩⲣⲁⲓ									to lift up; to withdraw
ⲡ.ⲱⲗ					ⲟⲗ=		n. m.		harvest, in-gathering
ⲧ.ⲟⲗⲥ							n. f.		what is collected
ⲱⲗⲕ						ⲟⲗⲕ	vb. intr.	also with adv. ebol> epecyt> ehrai> =nca pahou	to become bent, turned aside, distorted (toward: ⲉ)
ⲱⲗⲕ ϣⲁ	ⲉⲗⲕ-|ⲗⲕ-ϣⲁ								to turn up nose, sneer (at: ⲛⲥⲁ)
ⲧ.ⲟⲗⲕⲥ	ⲟⲗⲉⲕⲥ						n. f.		bend, corner
ⲱⲗⲙ					ⲟⲗⲙ=	ⲟⲗⲙ	vb. tr.		to clasp, embrace (e, ⲉϩⲟⲩⲛ ⲉ)
ⲱⲙⲕ				ⲉⲙⲕ-	ⲟⲙⲕ=		vb. tr.		to swallow (ⲙⲙⲟ/)
ⲱⲙⲕ				ⲉⲙⲕ-	ⲟⲙⲕ=		vb. intr.		to be swallowed
ⲱⲙⲥ				ⲉⲙⲥ-	ⲟⲙⲥ=	ⲟⲙⲥ	vb. tr.		to sink, submerge, dip (ⲙⲙⲟ/)
ⲱⲙⲥ				ⲉⲙⲥ-	ⲟⲙⲥ=	ⲟⲙⲥ	vb. intr.		to sink, be submerged, dive (into: ⲉ, ⲉϩⲟⲩⲛ ⲉ, ⲙⲙⲟ/, ha, ϩⲛ), +/- ⲉⲃⲟⲗ, ⲉⲡⲉⲥⲏⲧ
ⲡ.ⲱⲙⲥ				ⲉⲙⲥ-	ⲟⲙⲥ=		n. m.		sinking, diving, baptism
ⲣⲉϥⲱⲙⲥ									diver
ⲉⲙⲥⲉ	ⲙⲥⲉ						n.		submersion
ⲱⲙϫ				ⲉⲙϫ-	ⲟⲙϫ=		vb. tr.		to wean (ⲙⲙⲟ/; from: ⲉⲃⲟⲗ ϩⲛ)
ⲱⲛⲉ							n. m. (f.)		stone
ⲙⲁ ⲛ ⲱⲛⲉ									stony place
ⲣ-ⲱⲛⲉ									to become (like) stone
ϩⲓ-ⲱⲛⲉ									to throw stones (at: ⲉ)
ⲛⲉϫ-ⲱⲛⲉ									to throw stones (at: ⲉ)
ⲃⲁⲕ-ⲱⲛⲉ									stone-thrower
ϣⲁⲧ-ⲱⲛⲉ									quarry
ⲉⲛⲉ-ⲙ-ⲙⲉ									precious stone, gem
ⲱⲛⲕ	(ⲟⲙⲕ=, ⲟⲛⲅ=)				ⲟⲛⲕ=		vb. tr. and reflex.		to leap (e: at, upon: hijⲛ from on; ⲉϩⲣⲁⲓ up: ⲉhrai ⲉϫⲛ up onto: ⲉhrai ϩⲛ|ha|hi up from; ⲉⲃⲟⲗ out)
ⲱⲛⲧ	(ⲱⲛϭ)						vb. intr.		to be pinched, contracted
ⲱⲛϣ						ⲟⲛϣ (ⲟⲟⲛϣ)	vb. intr.		to become dazed, astonished, dumb with astonishment; to gape (at: ⲛⲥⲁ)
ⲱⲛϣ ⲉⲃⲟⲗ									to muse, be in a trance
ⲟⲛϣⲥ							n. 		astonishment
ⲱⲛϩ						ⲟⲛϩ	vb. intr.		to live, be alive
ⲱⲛϩ							n. m. 		life
ⲣⲉϥϯ-ⲱⲛϩ									life-giver
ϭⲓⲛⲱⲛϩ									way of life, means of living
ⲱⲡ				ⲉⲡ-	ⲟⲡ=	ⲏⲡ	vb. tr.	Q is esp. freq. in senses: to be ascribed, related, belonging to	to count; to reckon, regard, consider (ⲙⲙⲟ/; as: ⲙⲙⲟ/; as belonging to: ⲉ); to ascribe (ⲙⲙⲟ/; to: ⲉ); to esteem or be esteemed.
ⲱⲡ ⲙⲛ									to number or be murdered among/with; to become part of
ⲱⲡ ⲛⲥⲁ									to count, enumerate
ⲡ.ⲱⲡ				ⲉⲡ-	ⲟⲡ=		n. m.		count, reckoning
ⲁⲧⲱⲡ									unesteemed
ϯ-ⲱⲡ	ϯ ⲙ ⲡⲱⲡ								to render an account, give an accounting (of)
ϥⲓ-ⲱⲡ									to take an acount (of: ⲛ, e, ⲙⲛ)
ⲧ.ⲏⲡⲉ							n. f.		number
ⲁⲧⲏⲡⲉ									numberless
ϫⲓ-ⲏⲡⲉ									to take count (of: ⲙⲙⲟ/)
ⲁⲧϫⲓ-ⲏⲡ									countless
ⲱⲣⲃ	(ⲱⲣϥ  ⲟⲣϥ=)			ⲉⲣⲃ-	ⲟⲣⲃ=	ⲟⲣⲃ (ⲟⲣϥ)	vb. tr.		+ ⲉϩⲟⲩⲛ: to enclose, shut in, restrict (ⲙⲙⲟ/)
ⲱⲣⲃ	(ⲱⲣϥ  ⲟⲣϥ=)			ⲉⲣⲃ-	ⲟⲣⲃ=	ⲟⲣⲃ (ⲟⲣϥ)	vb. intr.		to be shut in, enclosed
ⲡ.ⲱⲣⲃ	(ⲱⲣϥ  ⲟⲣϥ=)			ⲉⲣⲃ-	ⲟⲣⲃ=		n. m.		frame, siege, enclosing, seclusion
ⲁⲧⲟⲣⲃ_									unlimited
ⲧ.ⲉⲣⲃⲉ	ⲣⲃⲉ						n. f.		pen, enclosure
ⲱⲣⲕ					ⲟⲣⲕ=		vb. tr.		to swear (obj. oath: ⲙⲙⲟ/); to adjure, swear to (person: ⲉ, ⲛⲁ/; concerning: ⲉtbe, ⲉϫⲛ, ha; by, upon: ⲉϫⲛ, hi)
ⲡ.ⲱⲣⲕ					ⲟⲣⲕ=		n. m.		swearing, oath
ⲱⲣⲕ ⲛ ⲛⲟⲩϫ									to swear falsely
ⲙⲛⲧⲣⲉϥⲱⲣⲕ ⲛ ⲛⲟⲩϫ									swearing falsely
ⲧⲁϣⲉ-ⲱⲣⲕ	ⲣⲉϥⲧⲁϣⲉ-ⲱⲣⲕ								one who swears a lot
ⲱⲣϣ						ⲟⲣϣ (ϩⲟⲣϣ)	vb. intr.		to become cold
ⲱⲣϣ						ⲟⲣϣ (ϩⲟⲣϣ)	vb. tr.		to scorch
ⲱⲣϫ	(ⲣϫ-)			ⲉⲣϫ-	ⲟⲣϫ=	ⲟⲣϫ	vb. tr.		to fasten, bind, imprison; to close (ⲙⲙⲟ/; against: ⲉ)
ⲱⲣϫ	(ⲣϫ-)			ⲉⲣϫ-	ⲟⲣϫ=	ⲟⲣϫ	vb. intr.		to be firm, secure
ⲡ.ⲱⲣϫ	(ⲣϫ-)			ⲉⲣϫ-	ⲟⲣϫ=		n. m.		firmness, assurance; deed of security
ϩⲛ ⲟⲩⲱⲣϫ									with assurance, with certainty; diligently, carefully
ⲉ ⲡⲱⲣϫ									for sure
ⲙⲁ ⲛ ⲱⲣϫ									prison; stronghold
ⲱⲥⲕ						ⲟⲥⲕ	vb. intr.		to continue, be prolonged; to delay, remain; to be long past, out of date; oft. w. Circum.: to remain doing, continue doing; or + e + Inf. idem.
ⲡ.ⲱⲥⲕ							n. m.		duration, continuance, delay
ⲧ.ⲁⲥⲕⲉ							n. f.		delay
ⲱⲥϭ	(ⲱϭⲥ  ⲟⲩⲉϭⲥ-  ⲟⲩⲟⲥϭ=)			ⲉⲥϭ-	ⲟⲥϭ=	ⲟⲥϭ	vb. tr.		to anoint, smear (ⲙⲙⲟ/)
ⲡ.ⲱⲧ	ⲟⲩⲱⲧ						n. m.		fat
ⲱⲧⲡ				ⲉⲧⲡ-	ⲟⲧⲡ=	ⲟⲡⲧ	vb. tr.		to imprison, shut in (ⲙⲙⲟ/; in: ⲉ)
ⲱⲧⲡ ⲉϩⲟⲩⲛ									to imprison, shut in (e, ϩⲛ)
ⲙⲁ ⲛ ⲱⲧⲡ ⲉϩⲟⲩⲛ									place of confinement
ϭⲓⲛⲱⲧⲡ ⲉϩⲟⲩⲛ									seclusion
ⲱⲧⲡ					ⲟⲧⲡ=	ⲟⲧⲡ	vb. tr.		to load (ⲙⲙⲟ/; with: ⲙⲙⲟ/)
ⲧ.ⲉⲧⲡⲱ							n. f.		load, burden
ϥⲁⲓ-ⲉⲧⲡⲱ									porter, bearer of burden
ⲱⲧϩ	(ⲟⲩⲱⲧϩ)				ⲟⲧϩ=	ⲟⲧϩ	vb. tr.		to weave; to sew, tie (ⲙⲙⲟ/; to, onto: ⲉ, ϩⲛ)
ⲡ.ⲟⲩⲁⲧϩⲉ							n. m.		warp (on loom)
ⲱⲱ	(ⲱ)					ⲉⲉⲧ (ⲉⲧ)	vb. intr.		to become pregnant (with: ⲙⲙⲟ/); to conceive (by: ⲙⲛ, ϩⲛ, ⲉⲃⲟⲗ ϩⲛ)
ⲡ.ⲱⲱ	(ⲱ)						n. m.		conception
ϯ-ⲱⲱ									to be pregnant
ⲱϣ				ⲉϣ-	ⲟϣ=		vb. tr.		(+/- ⲉⲃⲟⲗ) (1) to utter, sound (ⲙⲙⲟ/); to cry out (to, for: ⲉ, ⲉϩⲣⲁⲓ e, ⲉϫⲛ, ⲉϩⲟⲩⲛ ⲉhrⲛ, ⲟⲩⲃⲉ); (2) to read (ⲙⲙⲟ/; to: ⲉ, ⲛⲁ/; on, about: ⲉ, ⲉϫⲛ; in: hi, ϩⲛ)
ⲡ.ⲱϣ				ⲉϣ-	ⲟϣ=		n. m.		reading
ⲙⲁⲓ-ⲱϣ									fond of reading
ⲣⲉϥⲱϣ									reader, lector
ϭⲓⲛⲱϣ									art of reading
(ⲱϣ)	(ϩⲟϣ=, ⲟⲛϣ=)				ⲟϣ=		reflex. only		+ ⲉϩⲟⲩⲛ ⲉ: to slip into, intrude into
ⲱϣⲙ	(ⲟⲩⲱϣⲙ)			ⲉϣⲙ-	ⲟϣⲙ=	ⲟϣⲙ	vb. tr.		to dry up (ⲙⲙⲟ/), to quench
ⲱϣⲙ	(ⲟⲩⲱϣⲙ)			ⲉϣⲙ-	ⲟϣⲙ=	ⲟϣⲙ	vb. intr.		to be quenched
ⲁⲧⲱϣⲙ									unquenchable
ⲡ.ⲱϥ	ⲱⲃ, ⲟⲩϥ						n. m.		lettuce
ⲱϥⲉ	(ⲱⲃⲉ  ⲟⲃ=)			ⲉϥ-	ⲟϥ=		vb. tr.		to press (ⲙⲙⲟ/; on, onto: ⲉpecyt e, ⲉϩⲟⲩⲛ ⲉ, ⲉϫⲛ)
ϣⲉ ⲛ ⲱϥⲉ									fuller's club
ⲱϥⲧ	(ⲱⲃⲧ  ⲉⲃⲧ-  ⲟⲃⲧ=)			ⲉϥⲧ-	ⲟϥⲧ=	ⲟϥⲧ (ⲟⲃⲧ)	vb. tr.		to nail, fix (ⲙⲙⲟ/; to: ⲉ, ⲉϩⲟⲩⲛ, ⲉϫⲛ)
ⲟϥⲧ ⲛ							Q		studded with
ⲡ.ⲉⲓϥⲧ	ⲉⲓⲃⲧ						n. m.		nail, spike
ϣⲥ-ⲛ-ⲉⲓϥⲧ									blow or wound of nail
ⲱϩ							interj.		woe!
ⲱϩ ⲉ									woe to ... !
ⲱϩⲉ	ⲁϩⲉ					ⲁϩⲉ	vb. intr.		to stand, stay, remain (with: behind: ⲉpahou); to wait (for: ⲉ, ⲛⲁ/)
ⲱϩⲉ ⲟⲩⲃⲉ								idem with ebol e> =nbol e	to stand against, resist, oppose
ⲁϩⲉⲣⲁⲧ_							reflex. suff.		to stand (e: before), to attend, to resist
ⲁϩⲉⲣⲁⲧ_ ⲉϫⲛ	ⲁϩⲉⲣⲁⲧ= ϩⲓϫⲛ								to stand upon, at, beside; to stand against, resist
ⲁϩⲉⲣⲁⲧ_ ⲙⲛ								Also w. oube against, hir=n at, haht=n> hat=n before, in the presence of	to stand with
ⲙⲁ ⲛ ⲁϩⲉⲣⲁⲧ_									place for standing
ⲱϩⲥ	(ⲟⲥϩ=)			ⲉϩⲥ-	ⲟϩⲥ=		vb. tr.		to reap, mow (ⲙⲙⲟ/)
ⲡ.ⲱϩⲥ	(ⲟⲥϩ=)			ⲉϩⲥ-	ⲟϩⲥ=		n. m.		reaping, harvesting
ⲣⲁ-ⲱⲥϩ									act of reaping
ⲡ.ⲟϩⲥ	ⲟⲥϩ						n. m.		sickle, scythe
ϫⲓ-ⲟϩⲥ									to wield a sickle
ϫⲁⲓ-ⲟϩⲥ									sickle-bearer, reaper
ⲡ.ⲟⲥϩϥ	ⲁⲥϩϥ						n. m.		knife, sickle
ⲱϫ							n.		thief
ⲱϫⲛ				ⲉϫⲛ-	ⲟϫⲛ=		vb. intr.		to cease, perish (from: ⲉⲃⲟⲗ ⲛ, ⲉⲃⲟⲗ ϩⲛ)
ⲱϫⲛ				ⲉϫⲛ-	ⲟϫⲛ=		vb. tr.		to destroy, make cease, put an end to (ⲙⲙⲟ/)
ⲡ.ⲱϫⲛ				ⲉϫⲛ-	ⲟϫⲛ=		n. m.		ceasing, destruction
ⲁϫⲛ ⲱϫⲛ									without ceasing
ⲁⲧⲱϫⲛ									unceasing
ⲱϭⲃ	(ϩⲱϭⲃ)			ⲉϭⲃ-		ϩⲟϭⲃ (ⲟϭϥ)	vb. intr.		to become cold, freeze
ⲡ.ⲱϭⲃ	(ϩⲱϭⲃ)			ⲉϭⲃ-			n. m.		cold, frost
ⲟϭⲃⲥ							n.		cold
ⲱϭⲣ					ⲟϭⲣ=	ⲟϭⲣ	vb. intr.		to become hard, stiff, frozen
ⲱϭⲣ					ⲟϭⲣ=	ⲟϭⲣ	vb. tr.		to freeze, stiffen
ⲱϭⲧ	(ⲟϫⲧ=, ⲟⲧϭ=)			ⲉϭⲧ-	ⲟϭⲧ=		vb. tr.		to choke, throttle (ⲙⲙⲟ/)
ϣ-				ϣ-			prefixed vb.	See 26.2.	(+ Inf.) to be able to, know how to, be allowed to
ϣⲁ							vb. intr.	+/- ehrai> ebol	to rise (of the sun)
ⲡ.ϣⲁ							n. m.		rising (of sun)
ⲙⲁ ⲛ ϣⲁ									the east
ⲣⲁ-ϣⲁ									eastern side
ϣⲁ-				ϣⲁ-			vb.	only in cpds. sa-mice> sa-cwn=t	to begin
ⲡ.ϣⲁ							n. m.		festival; divine service
ϩⲓⲃⲟⲗ ⲙ ⲡϣⲁ									excommunicated
ϣⲁ ⲱ									great festival
ϩⲟⲟⲩ ⲛ ⲡϣⲁ									festival day
ϣⲁ							vb.		to keep festival (for: ⲉ, ⲙⲙⲟ/)
ⲣ-(ⲡ)ϣⲁ									to keep festival (for: ⲉ)
ⲙⲁ ⲛ ⲣ-ϣⲁ									church
ⲙⲛⲧⲣⲉϥⲣ-ϣⲁ									occasion of festival
ϯ-ϣⲁ									to give communion
ⲡ.ϣⲁ	ϣⲉ (ϣⲁⲛⲧ=, ϣⲁⲁⲧ=, ϣⲁⲁⲛⲧ=, ϣⲁⲧⲧ=, ϣⲉⲛⲧ=)						n. m.		nose
ϭⲱⲃⲉ ⲛ ϣⲁ	ϭⲃ-ϣⲁ, ϫⲉϥ-ϣⲁ, ϭⲃ-ϣⲉ						n. m. f.		nostrils
ϣⲁ	(ϣⲁⲣⲟ=)						prep.		(1) to, toward (a person); (2) to, at (a place); (3) till, at, by, for (a time); (4) up to, to length of (in reckonings); (5) except (i.e. up to but not including)
ⲡ.ϣⲁⲁⲃ	ϣⲁⲁϥ, ϣⲟⲟⲃ						n. m.		skin
ⲡ.ϣⲁⲁⲣ	ϣⲁⲣ		(ϣⲁⲁⲣⲉ)				n. m.		skin, hide, leather
ⲃⲁⲕ-ϣⲁⲁⲣ									tanner
ⲟⲩⲁⲙ-ϣⲁⲁⲣ									ulcer, sore
ⲣⲙⲛϣⲁⲁⲣ									man of skin (i.e. the purely physical person)
ⲡ.ϣⲁⲁⲣ	ϣⲁⲣ, ϣⲁⲁⲣⲉ, ϣⲁⲣⲉ						n. m.		price
ⲣ-ϣⲁⲁⲣ									to fix a price, bargain (for: ⲉ)
ϯ-ϣⲁⲁⲣ									to fix a price, bargain (for: ⲉ)
ϣⲁⲁⲣⲉ	(ϣⲁⲓⲣⲉ, ϣⲁⲁⲣ)				ϣⲁⲣ=	ϣⲁⲣ	vb. tr.		to smite (ⲉⲣⲟ/)
ⲡ.ϣⲁⲁⲣⲉ	(ϣⲁⲓⲣⲉ, ϣⲁⲁⲣ)				ϣⲁⲣ=		n. m.		blow, stroke
